Address,Country,Charity
0x63b83bf5301bff124dd66ccee6740a8ebee8a320,Country 1,Yes
0xff205f98b3d9caa47e67004f13957aad465f536e,Country 2,Yes
0x1b74c924b2bf346717ef9a01a8ab397ba02d7d3c,Country 3,Yes
0x838c77e7e8a84dbec2221a20bb46246f7043054b,Country 4,Yes
0x5370fa419eab14a9c27d532f7a36b11e858c812d,Country 5,Yes
0x24c8543b6321866c482ef7cca5accfe07b3305b4,Country 6,Yes
0x459ac8ff680a0bdcb8ed45321ccf8a1a4b691419,Country 7,Yes
0x838d6f634767cc474d88d1b69cb0cd09149f4ea4,Country 8,Yes
0x1fd3339793f19e32d01862c4788d15abcdc0fe6f,Country 9,Yes
0x59df9c5825b0f111a6e6694f3a1f2db47cbcfacc,Country 10,Yes
0x93acd6cc72145591681ad80193f34e7e579de139,Country 11,Yes
0x05fc6b5ad2dbf4ada20a7867a88d7744d8d8c0a9,Country 12,Yes
0xfe73b6b4817996d3198903c56fd1e9af06d0277c,Country 13,Yes
0x4ccd217e909871b2454c58fc6611f8b3eaec89c0,Country 14,Yes
0xf307017f23c8bfcf1bac8f864a44459353a51787,Country 15,Yes
0x728d59415beb0008c28284b36f57f6d998925e5d,Country 16,Yes
0xe57efdd6271974a048dcfbc69afb9c0d95c9c8d1,Country 17,Yes
0x80993f7003142cdaa3ba7dba53b09eb1b2d83e95,Country 18,Yes
0x23b0fc9994f585fc8a0f6281c17371f771ad6c69,Country 19,Yes
0x61c7398926da1363a30f330997e59ed5ee14bf47,Country 20,Yes
0xb6711757012c542df991a28e36456072fa5b62ab,Country 21,Yes
0x40e70f3118e57170baf16bfd6a1050d5e525c4e5,Country 22,Yes
0x41d12cd3e3f9d633eadf62935cfdb4b00432befc,Country 23,Yes
0xf4a7e2dcc30e83da4d9ee71b632716513b1becf4,Country 24,Yes
0x007237ea06a6a32dea5e979f5fbe335582352028,Country 25,Yes
0xc8fc282c6ed05adbc644092f2c426ef9e36a3884,Country 26,Yes
0xf0de840acd7828171b6b49fb2a53be92efa4a1f1,Country 27,Yes
0x2338e75dcc3cdc0de8f4049bb45e95a4de5db658,Country 28,Yes
0x5c95eb380f814439de18b3a3fd67a3493a239ce7,Country 29,Yes
0xc2081c26be9d272c3f527de0385acfd3580f38fc,Country 30,Yes
0x3a32cd28e733b6fd77cea7aed0c6119c2488ab8f,Country 31,Yes
0x9d062c822ca0cbc83e45d3bf92d0d94c4b95514e,Country 32,Yes
0xa66de14988a014eaf8bdc73432c712bca1008cb3,Country 33,Yes
0x2f2df59078ceadde0f6c144feacdce177a1d19d4,Country 34,Yes
0x897925fe6b2fb95b1fc4b29a68030374a1b5aa58,Country 35,Yes
0x0943e16625d561a357a80975c93b5eeea2dafa47,Country 36,Yes
0x9fd1494f2f577982b2131c8fe1c8bc73ca43ec19,Country 37,Yes
0x075bdd469ac6fba8e104926e3d3c9970445e188e,Country 38,Yes
0x7a28868b55fd29de5b5684fb7e332a51f65e7a9b,Country 39,Yes
0xc91c5bda99e74bc1b901583816405ac720949000,Country 40,Yes
0xf094c0a42e550594f9893aeb69369f8a3bb9948c,Country 41,Yes
0xd6bdbb920468600701a2a7b2696e30baff92b620,Country 42,Yes
0x5512b30c29e7aaf7ee5a058a0be993bce322a468,Country 43,Yes
0x3a3a0b19c59a5322c231cf5b7a216f33f399787a,Country 44,Yes
0x3f8ee944c5b8f2230f7df7aa3784da0a98a9b107,Country 45,Yes
0x3a990725b332bd26d485cf31a19b015fc5f040b4,Country 46,Yes
0xeb90ec6dcc3093858624c72dc5b10518885914e8,Country 47,Yes
0xde2fcc0b919a453c3443bbd7e4c48ddea3b58bd3,Country 48,Yes
0x4071e642551886705c08c67bb35e86359b1c6897,Country 49,Yes
0x28a6939b2ebd54cda91505f73aee6d90800d59cd,Country 50,Yes
0x171a30b5b0400e39e85ebe456e7bdb5cd5bd8bbc,Country 51,Yes
0xd6464a1a14c3025f1de193169c9d9f64d80a2880,Country 52,Yes
0xaff2a8c050a8d99d1d34462b99987a451ad3929f,Country 53,Yes
0x6b6779203a7f189256bc58c105f3dc431cb808c9,Country 54,Yes
0x80a8e19df4923d715f0c78337324d84c7c119437,Country 55,Yes
0xe83e7ff1389f26a0fd5c2fccf8a36c5897ea356c,Country 56,Yes
0xd57ec25e7461cbd113a1c226bb2d664db2dccce8,Country 57,Yes
0x1b43c3f114ca8c0b83cc27be1ad3123fdcaa5d83,Country 58,Yes
0xf5cf8bf21fd76823d39fa11a5409d5385e274e2c,Country 59,Yes
0x62623510f5aecd2191125a836be689840bfbca3d,Country 60,Yes
0x93c1c6716ce46c1864d986d0d888ac28f134b445,Country 61,Yes
0x7738d8d52bfdfab82051bcad975c33dacfe34dac,Country 62,Yes
0x7d67bc33ed4a2872d19f5f3049c1fce49693e7df,Country 63,Yes
0x288a30a4f7797faacd2805426dac5579bbe7554c,Country 64,Yes
0x7226d27026c513389a978ddb4e4e382fa72e1a91,Country 65,Yes
0x1aa076756f1f8f512b04c4e97a2edd337d619205,Country 66,Yes
0x1a297fb74cfde2d434bc7f82ab93f70e86547f3d,Country 67,Yes
0x0e3ecc23125e5d0ed5a7218f4705f71b3be5f1ad,Country 68,Yes
0x0375a55a68e7237bde2c39999ee861361d51ea97,Country 69,Yes
0x5803ed31e34d8901668491c034c711bc8d9eb536,Country 70,Yes
0x1c0541852e56c544694d34271873336a6036e0c8,Country 71,Yes
0xc1668815f16e4b9121e25d75fbeeb2cf56e47698,Country 72,Yes
0xcea30e31072b0748216b9c88ac4deff7b2907368,Country 73,Yes
0x87d34af4b43f7a4af2d16d9463d6ff9e423d2b98,Country 74,Yes
0x79477225a444e9f50a13415b349530539589d637,Country 75,Yes
0x6fd90bac24c052eb85956dc17d321a236d3c1b6d,Country 76,Yes
0x34d39db1d3106a7a67be2471e7297245f29e5b2c,Country 77,Yes
0xf9fce59dec93157be26a1f9515979593ee668df8,Country 78,Yes
0x09b4aaabba1afa11d48828808919b696b95d7090,Country 79,Yes
0x955dcdcd48c2f51050efb94eeb2bec79f8445c49,Country 80,Yes
0x28dcd8aed7a5baa6bc5358431973a88d8c3877e4,Country 81,Yes
0x8470857297737ca0a607bff5cfaf8a3cdda92137,Country 82,Yes
0x4a9d6d0fce4b6e5f6a0ac12777484a5c07cd951b,Country 83,Yes
0xbfa620f9f0304a6517e0d6a4401209f2808638ed,Country 84,Yes
0x25d3dec8ee60ccafd8005e323e5566a885ac0628,Country 85,Yes
0x98ed72c948ff975dcbab0948195235188220233a,Country 86,Yes
0x675dfc1137521f02ca60469c235ffa3ac08be7f5,Country 87,Yes
0xdef8622527ab707f0821976862d71127e8f82a4b,Country 88,Yes
0x2e7c09e92807155a1c0bbfcf3efb6ed906638085,Country 89,No
0x7080b1656898792ba018d9b819c5cf2be45846a1,Country 90,No
0x337d4cb7eb5aba0446f5c85b698ecc5fa6cab260,Country 91,No
0x2abe89900983b0ac49d5f37c37d415faf7a95967,Country 92,No
0xc78ae721f7fb3e5060491588c2081a067976ff98,Country 93,No
0xc3779c202e19aa122b7a0d69ba5df119a2d9af22,Country 94,No
0xa6895a0261f9c4d7a721e4877d7ba837a4457cf3,Country 95,No
0x4fe79544e8a127001c1d1e25e783dbfad23fa646,Country 96,No
0x831d39782c0adc193d51090c40fa2f34c54afe16,Country 97,No
0x7bdd01fe6be25403521611e7c1cd7d744baf0aab,Country 98,No
0x9345d5fea2f97482c17ce5ed4ab9a67d3c4f083c,Country 99,No
0x83bf24b94c35cb077f715ca411ab1cd392ffd5ac,Country 100,No
0x1f80ce044519520fd4caf3b363b37a96350084bb,Country 101,No
0xd07370c1bdab79b917725713718de9bbe6609aa9,Country 102,No
0x575065a5a57567afd98058bb43953ffb95911799,Country 103,No
0x413812772321507b63268b84610cee4f76b49223,Country 104,No
0xfb962e8eb9f08a70b80015a68bbced5448dbad51,Country 105,No
0xa4c99c1ee2452afa6fbe46a5f0e9af39f8dc7864,Country 106,No
0xe9df74e30f3765f4dec3930c9ec2269fb1899b50,Country 107,No
0x647f38f156a763bfd5ef854aa97ab90824e6b695,Country 108,No
0x71510f16d880e0a761b9b9919d880a8c21ec0f26,Country 109,No
0x82244ce20cfe89b821436a3bf2cce3e31639f379,Country 110,No
0x3914f2d50796880c46194069678d7c64fe3024b7,Country 111,No
0x7350a7c060dd05b0be926f1d0a9a5b2eb057e4e1,Country 112,No
0x0185aac09af2ad6da02785f614cfc8126e7fde40,Country 113,No
0xc3f624373367b13fdb0e9b9a8db10e14ba6992af,Country 114,No
0xb3d8e2acb3e3a01bfc66c852268789f731c34b3d,Country 115,No
0x28279b3735baa7ff43adc43aeb50d999a8acc1ec,Country 116,No
0x6e49815472131bd28968afb58ed37038629db786,Country 117,No
0x3235e97fd6a90844ae8c00b467f7eb0f4f0a9a45,Country 118,No
0xd950c74bfadde4f2cb3869cd76020ff99edcc51e,Country 119,No
0x94f5d474cec153c0aa720fab63d8216524a3f78f,Country 120,No
0x9e02ef0971136ed58c2c84c1a5a56f1e052e8ba8,Country 121,No
0x4f03d8ed1e9f2a10de1b4ab923e87f72bd856e07,Country 122,No
0xa478589227e3f4fc180ebbec67b48911601b364c,Country 123,No
0x304fe852e0ad8c272fee625bb0308c35801793a1,Country 124,No
0x137dd410d390f4512dd645810f638efaea03181c,Country 125,No
0xdca378bb9022395e9ebc1c64b951945c1e9db657,Country 126,No
0xfc0fd6794b992671f7beca0d1e8c5979b71ade31,Country 127,No
0x26737469f28c5e5fbdd25f9d606f7590248d507f,Country 128,No
0xdf0289bfc853a59f7434c60697a5cd85c4f322bf,Country 129,No
0x0e42a4efe12bf0674015746da56458853e1ca241,Country 130,No
0x2ee2b45a222a96a3a0569f250fd271fde44788ff,Country 131,No
0xd8ee5d1513fbc90b2c88a1115d8c3f75c22870e5,Country 132,No
0x87c44cc234714596bd92df9ca53d9cc56cfcd3ce,Country 133,No
0xd8a14eae0f1bcac91b1d695b05cb308655bff12e,Country 134,No
0x05da30ec8c4e5a490d27c4a81ec316b9e7a33ec6,Country 135,No
0x6a2129238bdaffe221f6edf9f8d4a66dc9fb747e,Country 136,No
0x7079667e5be42a841b0ac66b6420344f7dc9d2be,Country 137,No
0x53e0356055565c0d3d68cd82ecd06ce3a7ef8c95,Country 138,No
0xa59b0b5d3eafd8a5fb34fc9c7f6382027faffe72,Country 139,No
0xbd8c4966c6082ddbc6b64d5691dc546648bf8a12,Country 140,No
0xb977e5b12bf5ce400696604b577d62d75f8f0739,Country 141,No
0x2a09ed9331cb831b48af48e1ae6e5184f1794cbc,Country 142,No
0xe8e51d6068a631e488637241ad25e770674ed75d,Country 143,No
0x8c328b3f7c73524df690ea87ea8685ac8aebe832,Country 144,No
0xc3c316f06d21a660cdc44dff5bba9c36b9efe160,Country 145,No
0x659e6f4b0d5a0c9d7aa6c13fc3dc18f636db18e0,Country 146,No
0x634cfc6ec5d7d78bfe95a6869f24f4edbfa2b4e7,Country 147,No
0x0256eec440f3ee161ba103a43e98f064674e06fb,Country 148,No
0x83f324d9b546764335d23af3365b7cfddf63c18e,Country 149,No
0x2437980cab505f5cf5bf2309626dfef715c18767,Country 150,No
0xb8a27aa5032f7eecc0a84c161f1f35db0e73d4ac,Country 151,No
0x8b4a7833a1ce2377c4e3443a0722f59eee6e16f4,Country 152,No
0x3b6809c7e02dadb80e2c25ff1ffb026036f1e500,Country 153,No
0x4b3cef6b492c180252db9f852762e5ef99e44748,Country 154,No
0x0463cda542ba7220b5fc066562750056f1def95c,Country 155,No
0xf1c571632ad03fe555da58808d0edc22e39e678d,Country 156,No
0x25a044876344c2e508375eb0675489705bc7c468,Country 157,No
0xab0ee969f36eeb82dcd20d5472c378bca29b104b,Country 158,No
0xc4f87d0ff3c6e89cb4db6b581e492bab943270d3,Country 159,No
0x8d2a8a41fa43d667e9f75f0c1bdbd6a8d47777ae,Country 160,No
0xc6dbbd93e63e9a3565c7e23e91986d58775d9370,Country 161,No
0x1f0b31cc986d02b5cdb1ff7ef103e4342c17f03a,Country 162,No
0x99c30c00317f7927f2c321a228c38b803e0f6875,Country 163,No
0x511b9496bcd4b7ed3e641f28f133680f732e5c2f,Country 164,No
0xe95c590b1e6a6c1711868d758807a694d58b6061,Country 165,No
0xa9d966a177c8b5da6c8d2d70d217c4625bd4a867,Country 166,No
0x28ffd4b9ba6b8b44c9a1215ed1b1c95aa3c7a70e,Country 167,No
0x90e62a5668ade3caf3281aa4f3c93bd6a0f3e876,Country 168,No
0x208f77d2182316be3c69621a523d82b0bda59cf1,Country 169,No
0x9b905d8fe81e838b1a7b4774d31faca4f895c7d1,Country 170,No
0x5afbfbc7f5335d5b11677cc54f60c1e3f785082d,Country 171,No
0x944ad7498a589162383f63027c83c78cc0661c1e,Country 172,No
0xf8dcb27370ba06913d7163793b7ba3bc2c6256ff,Country 173,No
0x7d5bda3fe4961c2b261113dffff3260b0d1c2e91,Country 174,No
0x6bb924dede901f974529af6c8e4ddc2d4b23f67c,Country 175,No
0x86600abf1a1951a3fe87435542a878b7dede3fca,Country 176,No
0xb9c351840f253fe1d101afdd8e05ad0fc71288c8,Country 177,No
0xa72f4fb940b460ed3a5e49c31d0dee674969bc19,Country 178,No
0xd0c719f681b2e8a70ba99a2ee20d380bd43db5e9,Country 179,No
0x5dbdbef71f5f0682bc44f2be5ec7f07cc929a6d3,Country 180,No
0xfefe893f8bc843773075f326f823729cfcef0b1c,Country 181,No
0xb6bbaa22309504a28f08ae7cad6d05c379abae48,Country 182,No
0x4f07202b8bb1e21087091723b43eead8df44599b,Country 183,No
0x23f189713e3081a5eef1c75c16ef3d876781b9e6,Country 184,No
0x374d7e3d23589c8b43c818f07bfe13ee9c8f78cf,Country 185,No
0x4b34671e879ccbe4aaab685d8f45d2709c517ad6,Country 186,No
0x276296614450e97d16b49c2415e2d97698af4137,Country 187,No
0xe01d2aea2f82abe2bb725704a58d091b0c991abd,Country 188,No
0x210580d28f656f677fbf0f7cac4b96e12549a17a,Country 189,No
0x9c7d747aff353386580efd2026c9c8fd91ecef68,Country 190,No
0x5741e22c23e37882ffea9d94e32467c62a865214,Country 191,No
0x9d9bae6020a700feb41fef826a882601bdcea3ad,Country 192,No
0xac817cec7c93805600b8d578ea4aa22070aada62,Country 193,No
0x1a010c32f70c9c4b1a1563e293d937e7cf9dd0d0,Country 194,No
0x0a0135e75f4f0f92c50ca3037d61d1360a9bedf7,Country 195,No
0x4415635a78bf3d5c29cbccce2a9adf710467d0d2,Country 196,No
0xfed7845ac35a4a0960f2208d74078642d243e34a,Country 197,No
0x0a416992220dfaac3df0e7dae9014f6d42c8ed7f,Country 198,No
0xbf38dbf61da21b65dc25348b1c39df3880aa59af,Country 199,No
0x4bb5eaf45fcff83391f954d045280652e3e4a2cd,Country 200,No
0x8dc9830a2608cf53c2822404b9e0fc0dc1d383e9,Country 201,No
0x0b9e23183111b1f39b1401f35e729c564e65a5a4,Country 202,No
0xc013889aa864f5421d7e6c06d909fea92e426118,Country 203,No
0xf030877667f26be3bfd273e1f003bf22e9972a2a,Country 204,No